b0,b1,sig2
0.188100797,0.06505074,0.503674637
0.008819875,0.067443549,0.675030608
-0.158873269,0.067223035,0.828119674
0.101966692,0.068745762,0.478770429
0.048592639,0.06701819,0.695284187
0.291935298,0.06295987,0.586554794
0.069876335,0.065655031,0.540740721
-0.03598641,0.067815668,0.521876417
-0.118258297,0.068831389,0.515232953
0.067181562,0.061173291,0.627453948
0.078442256,0.066659119,0.618372266
-0.007368879,0.064066816,0.74948366
0.198433084,0.062467063,0.558110212
0.064888185,0.065917468,0.575094393
0.067525007,0.067873776,0.4459521
0.045542986,0.065524527,0.695645311
0.004373219,0.061227815,0.54271123
0.155038792,0.066060678,0.60221678
0.042569966,0.064311776,0.674041737
0.121097992,0.06294796,0.709618203
0.126102159,0.065839758,0.718997299
0.087736436,0.067655945,0.474438532
0.008417912,0.067356202,0.87215561
-0.183258451,0.066943148,0.83955757
-0.100067662,0.065134909,0.575059974
-0.068797359,0.066391355,0.479662852
0.170154131,0.06915969,0.674236231
0.021055139,0.066356105,0.507374225
0.223654044,0.060132204,0.889121348
0.064511298,0.060703555,0.550471584
0.113708163,0.065292745,0.533964731
-0.17588915,0.071980902,0.872927686
-0.047900227,0.067155451,0.680300113
-0.233715934,0.073672886,0.702939439
-0.218835428,0.074706167,0.807019138
-0.089570764,0.074958412,0.711865145
-0.360960986,0.073971032,1.047736952
0.03692257,0.067174184,0.650869449
0.100961921,0.057739617,0.694362707
0.252972429,0.065731275,0.800727026
0.082163112,0.06745131,0.848901393
-0.04935054,0.070351671,0.467646015
0.127391157,0.063885518,0.66859593
0.039452399,0.073488892,0.602376186
-0.051711323,0.068526014,0.6415914
0.002319321,0.06424753,0.454834765
0.266064301,0.06607954,0.695651586
0.025306654,0.066099421,0.699701115
0.105040989,0.072606691,0.60436239
-0.003168726,0.072316944,0.645214126
-0.234402439,0.072022059,0.658803967
0.081867821,0.063334911,0.716355155
0.012486995,0.064499313,0.36349719
0.03679498,0.069615197,0.661392059
0.12134662,0.064946155,0.569993303
0.066124264,0.065283804,0.526313384
-0.117097053,0.063528466,0.699037471
-0.056078473,0.068952993,0.550073519
-0.051458468,0.064063371,0.506638998
0.110485042,0.06303798,0.576298407
0.098984273,0.063566291,0.41659388
0.157712837,0.066435698,0.674149294
-0.019124313,0.065333086,0.710850601
0.099717203,0.071878025,0.673391561
-0.111836726,0.070949905,0.484209952
0.006659381,0.070943282,0.670173722
0.080906895,0.056314643,0.716392513
0.48613988,0.059033304,0.818418272
0.261129291,0.059559525,0.702573445
-0.095986017,0.071007673,0.757839558
-0.257399649,0.075338285,0.769270996
-0.232441411,0.07273386,0.688202521
-0.230458915,0.07139418,0.745239859
0.014120586,0.063084729,0.560251903
0.140388755,0.065570421,0.575041005
0.061180095,0.062701596,0.611183403
0.108137685,0.068685537,0.610585546
0.035782079,0.061494623,0.611089436
0.186668323,0.064035507,0.796343561
0.178279144,0.060212042,0.563326864
0.171850669,0.067303204,0.69288224
0.129330129,0.06557688,0.669306219
0.160101496,0.063607493,0.475878781
0.254224065,0.066573965,0.634855469
-0.097752734,0.067878647,0.586924929
-0.115950099,0.072271964,0.782184738
-0.096446494,0.077357456,0.741995261
0.094346638,0.061647606,0.500841461
-0.055698399,0.061690826,0.702264186
0.032160064,0.069269605,0.483895915
