"ID","Height.meters","i01","i02","i03","i04","i05","i06","i07","i08","i09","i10","i11","i12","i13","i14"
152,1.78,1,0,0,0,0,0,1,0,1,1,0,1,1,1
153,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,1.74,1,0,0,1,0,1,1,0,1,1,1,0,1,1
155,1.66,1,0,0,1,0,0,1,0,1,1,0,0,1,0
156,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,1.8,0,0,0,0,0,0,1,0,1,1,1,1,0,0
158,1.62,0,0,0,0,0,0,0,0,1,1,1,0,0,0
159,1.56,1,0,0,0,0,0,0,0,1,0,0,0,0,0
160,1.73,0,0,1,0,0,0,1,0,1,1,1,0,0,0
161,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,1.82,0,0,0,0,1,0,1,0,1,1,1,1,1,1
163,1.8,1,0,0,0,0,0,1,0,1,0,1,0,0,0
164,1.85,0,0,0,1,1,0,1,1,1,1,1,1,1,1
165,1.69,1,0,1,0,0,0,1,0,1,1,0,0,0,0
166,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,1.73,0,0,0,0,0,0,1,0,0,1,1,0,0,0
168,1.7,0,0,0,0,0,0,0,0,1,1,0,0,0,0
169,1.6,0,0,0,1,0,0,1,0,0,0,0,0,0,0
170,1.64,1,0,0,1,0,0,1,0,1,0,1,0,0,0
171,1.57,1,0,0,0,0,0,0,0,0,0,0,0,0,0
172,1.59,0,0,1,0,0,0,0,0,1,0,1,0,0,0
173,1.69,1,0,0,0,0,0,0,0,1,0,0,0,0,1
174,1.72,1,1,0,0,0,0,1,0,1,1,0,1,0,1
175,1.68,0,0,0,0,0,0,1,0,NA,0,0,1,0,0
176,1.75,1,1,0,0,0,1,1,0,1,1,0,1,0,1
177,1.81,1,1,1,0,1,1,1,0,1,1,1,1,1,1
178,1.63,1,0,0,0,0,0,0,0,NA,0,1,0,0,0
179,1.7,1,0,0,0,0,1,1,0,NA,0,0,1,0,0
180,1.78,1,1,1,0,1,1,1,0,1,1,1,1,1,1
181,1.75,1,1,0,0,1,1,1,0,1,1,0,1,0,1
182,1.6,1,0,0,0,0,1,0,0,0,0,1,0,0,0
183,1.65,1,0,0,0,0,1,0,0,1,0,1,1,0,0
184,1.8,1,1,1,0,1,1,1,1,1,1,1,1,1,1
185,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,1.67,0,0,0,0,0,0,0,0,0,0,0,1,0,0
187,1.79,1,1,1,1,1,1,1,1,1,1,1,1,1,1
188,1.8,1,1,1,0,1,1,1,1,1,1,1,1,1,1
189,1.72,0,0,1,0,0,0,0,0,0,1,0,0,0,0
190,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,1.73,0,0,0,0,0,0,1,0,1,1,1,0,0,0
194,1.55,0,0,0,1,0,0,0,0,0,0,1,0,0,0
195,1.6,0,0,0,0,0,0,1,0,1,0,0,1,0,0
196,1.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0
197,1.77,0,1,0,0,0,0,1,0,1,1,0,0,1,0
198,1.72,1,0,0,1,0,1,1,0,0,0,0,1,0,1
199,1.73,0,0,0,0,0,0,1,0,1,1,0,0,0,0
200,1.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
201,1.88,1,1,0,1,1,1,1,0,1,1,1,1,1,1
202,1.92,0,0,0,1,1,1,1,0,1,1,1,1,1,1
203,1.73,0,0,1,0,1,0,1,0,1,0,1,1,1,1
204,1.58,1,0,0,0,1,0,0,0,1,0,0,0,1,0
205,1.95,0,1,1,0,1,1,1,1,1,1,1,1,1,1
206,1.65,1,0,0,0,0,0,0,0,NA,0,0,0,0,0
207,1.92,0,0,0,1,0,0,1,1,1,1,1,1,1,1
208,1.63,1,0,0,0,0,0,0,0,0,0,0,0,0,0
209,1.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
210,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,1.58,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
