Ocean,Group,Island,Native bird species,Extant Natives,Extinct historic natives,Extinct island endemic,island endemic,extinct non-endemic,non-endemic,Alien bird species,number native bird species threatened ,island area,island elevation,first colonization date,isolation,latitude,exotic mammal species,predators,herbivores,Latitude (Matched),Longitude,Population
Caribbean,L.Antilles,StBarthelemy,38,38,0,0,9,0,29,1,0,.,.,5000,150,14,0,0,0,17.9, -62.833333,9035
Caribbean,L.Antilles,StEustacius,28,27,1,1,9,0,19,1,0,.,.,5000,150,14,0,0,0,17.483333, -62.966667,3897
Caribbean,L.Antilles,StLucia,52,51,1,1,22,0,30,2,4,639.8,950,5000,150,14,2,2,0,14.016667, -60.983333,180870
Caribbean,L.Antilles,StMartin,35,34,1,0,6,1,29,2,0,91.9,424,5000,150,14,3,3,0,18.066667, -63.05,77741
Indian,Antarctic,Amsterdam,20,10,10,5,11,5,9,1,3,86.5,911,300,2500,-37,9,5,4,-37.825833, 77.554722,30
Indian,Comoros,Anjouan,35,35,0,0,19,0,16,8,2,432.5,1595,1000,270,-12,2,1,1,-12.25, 44.416667,277500
Indian,Comoros,GrandComoro,39,39,0,0,25,0,14,9,5,1012.9,2361,1000,270,-12,1,1,0,-11.583333, 43.333333,316600
Indian,Antarctic,Kerguelen,35,35,0,0,19,0,16,0,8,6617.3,1850,225,2400,-48,11,4,7,-49.25, 69.166667,100
Indian,Antarctic,Marion,27,27,0,0,16,0,11,0,7,295.6,1230,.,1500,-46,2,2,0,-46.773056, 37.8525,50
Indian,Mascarenes,Mauritius,35,20,15,12,25,3,10,23,7,1873.8,828,400,870,-20,10,7,3,-20.2, 57.5,1259838
Indian,Comoros,Mayotte,31,31,0,0,15,0,16,9,2,371.1,660,1000,270,-12,1,1,0,-12.843056, 45.138333,212645
Indian,Comoros,Moheli,36,36,0,0,20,0,16,8,1,204.8,790,1000,270,-12,1,1,0,-12.25, 43.75,38000
Indian,Antarctic,PrinceEdward,29,29,0,0,17,0,12,0,7,43.7,672,.,1500,-46,1,1,0,46.25, -63,50
Indian,Mascarenes,Reunion,40,19,21,18,31,3,9,19,5,2535.2,3069,400,670,-21,7,5,2,-21.114444, 55.5325,"840,974"
Indian,Mascarenes,Rodrigues,20,9,11,10,14,1,6,8,2,107.8,396,400,1500,-19,4,4,0,-19.716667, 63.416667,38379
Pacific,Marianas,Agiguan,15,15,0,0,8,0,7,1,2,7,.,3000,1800,16,1,0,1,14.853611, 145.559444,0
Pacific,Marianas,Agrihan,8,7,1,1,7,0,1,0,1,40,965,3000,1800,16,0,0,0,18.778333, 139.671389,0
Pacific,CookIslands,Aitutaki,12,6,2,4,7,2,5,1,1,16.5,124,3000,4200,-20,4,4,0,-18.85, -159.79,2194
Pacific,Marianas,Alamagan,6,6,0,0,5,0,1,1,2,11,744,3000,1800,16,0,0,0,17.600556, 145.833333,0
Pacific,Marianas,Anatahan,5,5,0,0,5,0,0,1,1,30.8,787,3000,1800,16,1,0,1,16.351389, 145.678611,0
Pacific,Australasia,AntipodesIsland,28,28,0,0,17,0,11,8,7,20.5,402,200,2400,-49,4,1,312,-49.6667, 178.766667,0
Pacific,Marianas,Asuncion,6,6,0,0,3,0,3,0,0,7.4,891,3000,1800,16,2,2,0,19.6925, 145.403611,0
Pacific,CookIslands,Atiu,10,8,0,2,6,0,4,1,2,29.1,71,3000,4200,-20,0,0,0,-19.983333, -158.116667,571
Pacific,Australasia,Auckland,34,34,0,0,20,0,14,10,9,442.5,664,200,1600,-50,8,4,4,-50.7, 166.1,0
Pacific,Galapagos,Baltra/Seymour,21,20,1,1,15,0,6,0,1,26.93,173,465,960,0,3,2,1,-0.45, -90.266667,0
Pacific,SocietyIslands,BoraBora,6,5,1,1,4,0,2,5,0,21.9,727,3000,4400,-17,1,1,0,-16.4944, -151.7364,8880
Pacific,Australasia,Campbell,24,24,0,0,12,0,12,5,9,113.3,567,.,.,-53,7,4,3,-52.54, 169.145,0
